,Score,Scaling Parameter,Problem Idx,Model,Benchmark,Log Score,Neg Log Score,Num. Samples Total,Num. Samples Correct
72898,0.9999999999995205,650,66,Pythia 6.9B,MATH,-4.795053243357201e-13,4.795053243357201e-13,10000,9999.999999995205
72899,1.0,650,67,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72900,0.18261667515021152,650,68,Pythia 6.9B,MATH,-1.7003659943433658,1.7003659943433658,10000,1826.1667515021152
72901,0.9991125977590328,650,69,Pythia 6.9B,MATH,-0.0008877962154289333,0.0008877962154289333,10000,9991.125977590329
72902,0.06499999999999995,650,70,Pythia 6.9B,MATH,-2.733368009086501,2.733368009086501,10000,649.9999999999994
72903,0.18261667515021152,650,71,Pythia 6.9B,MATH,-1.7003659943433658,1.7003659943433658,10000,1826.1667515021152
72904,0.0,650,72,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72905,0.635366275183332,650,73,Pythia 6.9B,MATH,-0.4535536350688137,0.4535536350688137,10000,6353.66275183332
72906,0.0,650,74,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72907,0.06499999999999995,650,75,Pythia 6.9B,MATH,-2.733368009086501,2.733368009086501,10000,649.9999999999994
72908,1.0,650,76,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72909,0.06499999999999995,650,77,Pythia 6.9B,MATH,-2.733368009086501,2.733368009086501,10000,649.9999999999994
72910,0.5537893745948126,650,78,Pythia 6.9B,MATH,-0.5909708547875655,0.5909708547875655,10000,5537.893745948126
72911,0.999999802503473,650,79,Pythia 6.9B,MATH,-1.9749654652372085e-07,1.9749654652372085e-07,10000,9999.998025034729
72912,0.522732847502686,650,80,Pythia 6.9B,MATH,-0.6486847532582328,0.6486847532582328,10000,5227.32847502686
72913,0.9985725044497625,650,81,Pythia 6.9B,MATH,-0.0014285153926730096,0.0014285153926730096,10000,9985.725044497625
72914,0.9999999999999376,650,82,Pythia 6.9B,MATH,-6.239453398393574e-14,6.239453398393574e-14,10000,9999.999999999376
72915,0.18261667515021152,650,83,Pythia 6.9B,MATH,-1.7003659943433658,1.7003659943433658,10000,1826.1667515021152
72916,1.0,650,84,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72917,0.999999721411549,650,85,Pythia 6.9B,MATH,-2.785884897806068e-07,2.785884897806068e-07,10000,9999.99721411549
72918,0.0,650,86,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72919,0.9999999502088008,650,87,Pythia 6.9B,MATH,-4.9791200403288576e-08,4.9791200403288576e-08,10000,9999.999502088009
72920,1.0,650,88,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72921,0.9226049406911626,650,89,Pythia 6.9B,MATH,-0.0805541526904855,0.0805541526904855,10000,9226.049406911627
72922,0.9999999428455024,650,90,Pythia 6.9B,MATH,-5.7154499212466615e-08,5.7154499212466615e-08,10000,9999.999428455025
72923,0.99998407871756,650,91,Pythia 6.9B,MATH,-1.59214091849527e-05,1.59214091849527e-05,10000,9999.8407871756
72924,0.9999999823187421,650,92,Pythia 6.9B,MATH,-1.768125805856017e-08,1.768125805856017e-08,10000,9999.999823187421
72925,0.522732847502686,650,93,Pythia 6.9B,MATH,-0.6486847532582328,0.6486847532582328,10000,5227.32847502686
72926,0.48951832404195206,650,94,Pythia 6.9B,MATH,-0.714333383510065,0.714333383510065,10000,4895.18324041952
72927,0.9991125977590328,650,95,Pythia 6.9B,MATH,-0.0008877962154289333,0.0008877962154289333,10000,9991.125977590329
72928,0.9866392857464491,650,96,Pythia 6.9B,MATH,-0.01345077164985788,0.01345077164985788,10000,9866.39285746449
72929,0.9898075239403257,650,97,Pythia 6.9B,MATH,-0.010244775017867941,0.010244775017867941,10000,9898.075239403257
72930,0.9999999999998739,650,98,Pythia 6.9B,MATH,-1.2612133559742573e-13,1.2612133559742573e-13,10000,9999.99999999874
72931,0.522732847502686,650,99,Pythia 6.9B,MATH,-0.6486847532582328,0.6486847532582328,10000,5227.32847502686
72932,0.48951832404195206,650,100,Pythia 6.9B,MATH,-0.714333383510065,0.714333383510065,10000,4895.18324041952
72933,0.9998766334826898,650,101,Pythia 6.9B,MATH,-0.00012337412758485792,0.00012337412758485792,10000,9998.766334826898
72934,0.9548976233792625,650,102,Pythia 6.9B,MATH,-0.04615114489779404,0.04615114489779404,10000,9548.976233792626
72935,0.999999989099762,650,103,Pythia 6.9B,MATH,-1.09002381049157e-08,1.09002381049157e-08,10000,9999.99989099762
72936,0.9836333410181428,650,104,Pythia 6.9B,MATH,-0.01650207228682938,0.01650207228682938,10000,9836.333410181429
72937,0.999996216854179,650,105,Pythia 6.9B,MATH,-3.7831529770600543e-06,3.7831529770600543e-06,10000,9999.96216854179
72938,1.0,650,106,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72939,0.9999999990346213,650,107,Pythia 6.9B,MATH,-9.653786663618331e-10,9.653786663618331e-10,10000,9999.999990346214
72940,0.9699263542298483,650,108,Pythia 6.9B,MATH,-0.030535133841424617,0.030535133841424617,10000,9699.263542298482
